회사명,주소,기업규모
(주)앱이지,서울특별시 강서구 양천로 583 비동 9층 907호(염창동 우림블루나인비즈니스센터),중소기업
더로드아이앤씨 주식회사,경기도 군포시 당정로 14 (당정동),중소기업
주식회사 서로네트웍,인천광역시 미추홀구 방축로 194 D동 207호 2층 1호 (도화동),중소기업
(주)유니포인트,서울특별시 동작구 남부순환로 2049 (사당동네오티스빌딩2층),중견기업
(주)동산텔레콤,경기도 광명시 서독로104번길 8 (가학동),중소기업
피닉스엔지니어링 (주),전라남도 여수시 시청로 102 (선원동),중소기업
주식회사 유니포스,인천광역시 부평구 부평대로 293 712호 (청천동 부평테크시티),중소기업
렉스젠 (주),경기도 안양시 동안구 시민대로 401 1007호 1008호(관양동 대륭테크노타운15차),중소기업
주식회사 에스엔에이비씨피,서울특별시 성동구 성수일로 10 3층 302호 (성수동1가 서울숲 ITCT 지식산업센터),중소기업
주식회사 훌리악,경기도 파주시 문발로 240-31 (주)훌리악 (문발동),중소기업
(주) 애드뱅크,부산 남구 자성로 152  2002호 (문현동한일오피스텔),중소기업
(주)웹커뮤니티,경기도 고양시 일산동구 강석로 145 2층3호 (마두동축협빌딩),중소기업
(주)구일일무인경비시스템,서울특별시 노원구 동일로 1056 (공릉동499-50),중소기업
(주)뉴컴,서울특별시 송파구 법원로11길 7 씨동 714호715호(문정동현대지식산업센터),중소기업
(주)대한에이브이,대구광역시 북구 대불서길 34 (산격동),중소기업
한국메가와트 주식회사,충청남도 서천군 서천읍 충절로 146,중소기업
주식회사 세오,경기도 안양시 동안구 흥안대로427번길 16 801~804호819~820호(관양동평촌디지털엠파이어),중소기업
주식회사세인인포테크,서울특별시 금천구 가산디지털1로 2 419호 (가산동 우림라이온스밸리 2차),중소기업
에스네트웍스(주),경상남도 진주시 대신로 419 (초전동 5층),중소기업
(주)지센소프트,서울특별시 성동구 성수이로 51 한라시그마벨리 802호 (성수동2가),중소기업
(주)비앤비웍스,서울특별시 서초구 강남대로2길 7 301호 (양재동),중소기업
(주)엘이테크,대전광역시 유성구 유성대로783번길 25 2층 (장대동),중소기업
한국정보보안교육원 주식회사,대전광역시 유성구 테크노2로 160 513호 (용산동),중소기업
(주)청조정보통신,인천광역시 남동구 서창남순환로 222 803호 (서창동),중소기업
(주) 인포마인드,제주특별자치도 제주시 서광로 192 4층 (삼도일동),중소기업
주식회사 신우정보기술,부산광역시 수영구 망미번영로85번길 25 34층(망미동),중소기업
중원기전(주),서울특별시 구로구 경인로53길 90 715호 (구로동 에스티엑스더블유타워),중소기업
(주)이음데이터,서울특별시 금천구 가산디지털2로 108 1208(가산동 뉴티캐슬) (가산동),중소기업
주식회사 커머스웨어,서울특별시 성동구 광나루로8길 31 2동 905호(성수동2가 SK V1센터 2동),중소기업
(주)파인스닷컴,서울특별시 영등포구 선유로 277(양평동4가 파인스닷컴빌딩),중소기업
(주)태성정보통신,강원도 강릉시 강릉대로 521 (포남동),중소기업
(주)해나씨앤디,경상북도 영주시 풍기읍 동양대로 145 동양대학교 창업보육센터 8407호,중소기업
주식회사 진우이엔지,전라남도 함평군 함평읍 중앙길 27,중소기업
(주)델타시스템,대전광역시 유성구 문화원로 118 4층(봉명동성화빌딩),중소기업
건일정보통신(주),전라북도 전주시 완산구 전룡로 58 (서신동),중소기업
(주)두시텍,대전광역시 유성구 테크노10로 44-15 (탑립동),중소기업
세림이엔씨(주),광주광역시 북구 서하로 293 2층 (오치동),중소기업
(주)아름,충청북도 청주시 서원구 궁뜰로34번길 56 (미평동),중소기업
주식회사 파로스,경상남도 창원시 성산구 완암로 50 넥스동 604호 (성산동 SK테크노파크),중소기업
도우디지텍 주식회사,경기도 성남시 중원구 둔촌대로 537 A동 708호 (상대원동),중소기업
(주)한국정보화기술원,서울특별시 서초구 동작대로 214 3층 (방배동 정금빌딩),중소기업
양산전설(주),충청북도 진천군 진천읍 중앙동로 141-15,중소기업
주식회사 파로스,광주광역시 북구 첨단과기로 333 204호(대촌동 테크노파크),중소기업
주식회사 브이알에스씨,서울특별시 강남구 테헤란로52길 21 4층LS25호 (역삼동),중소기업
(주)건영정보통신,충청남도 논산시 은진면 탑정로306번길 9 (주)건영정보통신,중소기업
주식회사 신용아이엔씨,전라남도 장성군 남면 나노산단2로 106,중소기업
(주)인터엠에이브이전자통신,전라남도 순천시 해룡면 율산길 126,중소기업
넥스트리 주식회사,서울특별시 금천구 가산디지털1로 171 1806호 (가산동 가산에스케이브이1센터),중소기업
주식회사 아이엠아이씨티,광주광역시 광산구 금봉로74번길 40 (신촌동),중소기업
청강아이씨티(주),제주특별자치도 제주시 애월읍 하광로 277 2층 202호,중소기업
주식회사 케이아이,대전광역시 유성구 가정북로 26-41 1동 3층 302호 (장동 아이티프렉스),중소기업
대청산업(주),충청북도 청주시 상당구 1순환로 343 2층 (내덕동),중소기업
한서정보통신주식회사,제주특별자치도 제주시 죽성동길 13 (오등동),중소기업
주식회사 아이티앤,경기도 남양주시 다산중앙로19번길 21 1027호 1028호(블루웨일 지식산업센터 1차) (다산동),중소기업
(주)소프트일레븐,경기도 안양시 동안구 학의로 282 1827 (관양동금강펜테리움 아이티타워),중소기업
스마트인포 주식회사,충청남도 아산시 신인남길 5 (신인동),중소기업
루비콘테크 주식회사,서울특별시 영등포구 양평로21길 26 2605호 (양평동5가 선유도역1차아이에스비즈타워),중소기업
주식회사 유니와이드테크놀러지,경상남도 진주시 정촌면 진주대로379번길 27 1층,중소기업
(주)세종이엔씨,충청북도 음성군 소이면 소이로41번길 14,중소기업
(주)트리니언,경기도 파주시 탄현면 헤이리마을길 82-154,중소기업
(주)비즈아이엔에프 (VIZinf),서울특별시 중구 필동로1길 30 멀티미디어응용랩(206-209)(필동3가 동국대학교 혜화별관),중소기업
주식회사 미래와도전,경기도 용인시 기흥구 흥덕1로 13 (영덕동흥덕아이티밸리타워동32층),중소기업
한화통신 주식회사,세종특별자치시 금남면 성강길 215-2 1층,중소기업
금강통신(주),부산광역시 금정구 개좌로 266-19 (회동동),중소기업
주식회사 이프커뮤니티,서울특별시 성동구 아차산로17길 49 17층 1723호(성수동2가 생각공장데시앙플렉스),중소기업
(주)남우기술공사,전라남도 신안군 압해읍 원신장길 10-1 1층,중소기업
(주)새롬씨앤씨,서울특별시 구로구 디지털로34길 27 1105 (구로동 대륭포스트타워3차),중소기업
(주)투데이시스템즈,서울특별시 영등포구 여의대방로68길 15 205호 (여의도동영창빌딩),중소기업
주식회사 에스제이테크놀로지,서울특별시 마포구 와우산로 110-3 (창전동),중소기업
주식회사 파인에스엔에스,대전광역시 유성구 테크노9로 35(탑립동대전지능로봇산업화센터302호),중소기업
엠이엠시스템(주),경기도 의왕시 이미로 40 D-101 (포일동 인덕원IT밸리),중소기업
청수개발 주식회사,제주특별자치도 제주시 애월읍 하광로 277 2층,중소기업
주식회사 동화이엔지,세종특별자치시 전의면 윗다락골길 2-3,중소기업
(주)에스에이정보기술,서울특별시 영등포구 경인로 7751-1407 (문래동3가 에이스하이테크시티),중소기업
에이에이씨케이주식회사,서울특별시 금천구 가산디지털1로 171 18층 1814호~1816호 (가산동 가산 에스케이 브이원 센터),중소기업
주식회사 무나(MUNA),서울특별시 마포구 와우산로26길 9-32 6층(창전동 목원빌딩),중소기업
(주)우리아이앤티,경기도 고양시 덕양구 삼원로1길 13-12 1층 (삼송동),중소기업
(주)소프트넷,부산광역시 동구 자성로133번길 6 103동 3405호 (범일동 진흥 마제스타워 범일),중소기업
(주)우린하나,서울특별시 금천구 가산디지털2로 70 1705호1706호(가산동대륭테크노타운19차),중소기업
(주)키컴,강원도 춘천시 남산면 버들1길 130,대기업
주식회사 세우테크윈,전라북도 전주시 덕진구 상리2길 17 3동 (팔복동2가),중소기업
(주)이비즈테크,서울특별시 마포구 월드컵북로 396 1003호 (상암동 누리꿈스퀘어 연구개발타워 ),중소기업
주식회사 인포벨리코리아,경기도 안양시 동안구 시민대로248번길 25 302 303호(관양동 경기창조산업안양센터),중소기업
주식회사 오픈노트,전라남도 나주시 우정로 10 가동 4층 404호 (빛가람동 이노파크식스틴),중소기업
(주)융창,서울특별시 영등포구 선유로 70 505호(문래동3가 우리벤처타운2),중소기업
에솜 주식회사,경기도 성남시 중원구 순환로 210 201202203204205호 (상대원동이노트리아파트형공장),중소기업
(주)레드소프트,서울특별시 구로구 디지털로31길 38-21 309호 (구로동 이앤씨벤처드림타워3차),중소기업
(주)시큐위즈,서울특별시 마포구 상암산로 34 디지털큐브 19층 (상암동),중소기업
(주)리컨벤션,부산광역시 해운대구 센텀북대로 60 1동 5층 507호 (재송동 센텀아이에스타워),중소기업
(주)오에이전자,광주광역시 북구 첨단과기로 313 401호 광주하이테크센터 (대촌동),중소기업
(주)씨원에스,충청북도 진천군 덕산읍 석장1길 41,중소기업
제이에스통신건설(주),충청남도 금산군 추부면 자부길 6,중소기업
주식회사 이앤티컨버전스,서울특별시 구로구 부광로 88 제비 1016호(항동 구로에스케이브이원센터),중소기업
(주)래도,경기도 안양시 동안구 학의로 250 (관양동관양두산벤처다임 706호~707호),중소기업
(주)에스시전시문화,서울특별시 성북구 고려대로 33 SC전시문화빌딩 (안암동2가),중소기업
주식회사 나우리,전라북도 전주시 완산구 효자로 98 402호 (효자동3가),중소기업
아이티원 주식회사,서울특별시 금천구 두산로 70 비동 7층 708-1호 (독산동 현대지식산업센터),중소기업
지오종합건설 주식회사,경상북도 경주시 알천북로 335 (동천동),중소기업
사이텍스정보기술(주),서울특별시 중구 서소문로 89-15 5층 B호 (순화동 이주빌딩),중소기업
주식회사 씨앤엘정보,서울특별시 광진구 광나루로37길 24 4층 (구의동),중소기업
(주) 더원테크,경기도 성남시 분당구 서현로210번길 1 4층 405호 (서현동),중소기업
세한통신(주),대전광역시 동구 대전로 974 (삼성동),중소기업
(주)소프트원,서울특별시 강서구 양천로 583 B-901 (염창동 우림블루나인),중소기업
트라이언소프트주식회사,서울특별시 강남구 논현로 706 5층 (논현동 아이캐슬빌딩),중소기업
이진정보통신(주),부산광역시 부산진구 동천로 4 2동 (전포동 지오플레이스2층),중소기업
(주)유비코스,전라북도 전주시 완산구 신촌4길 16 201호 (중화산동2가),중소기업
(주)네오티엔씨,서울 광진구 동일로 306 4층(군자동),중소기업
(주)포맨해운항공,서울특별시 성동구 성수일로 77 1201호(성수동1가 서울숲IT밸리 지식산업센터),중소기업
어반아이티에스 주식회사,광주광역시 북구 신용산길 276-13 (지야동),중소기업
이비인프라(주),서울특별시 구로구 디지털로33길 11 909호 (구로동 에이스테크노타워8차),중소기업
(주)아이엘포유,서울특별시 서초구 바우뫼로37길 45 (양재동 (재)영산문화재단 영상문화재단빌딩내 3층),중소기업
(주)퓨쳐아이티,서울특별시 서초구 동산로19길 5 백산빌딩 2층 (양재동),중소기업
(주)에스엠인스트루먼트,대전광역시 유성구 유성대로1184번길 20 (신성동),중소기업
엠앨캐스트(주),서울특별시 서대문구 통일로9안길 9-6(냉천동 충현빌딩 3층),중소기업
삼오전기 주식회사,전북 김제시 하공로 174(흥사동),중소기업
(주)에이치알정보통신,대전광역시 서구 둔산대로117번길 66 421호 (만년동 골드벤처타워),중소기업
주식회사 페리도트테크,서울특별시 강남구 삼성로100길 8 401호 (삼성동 우경빌딩),중소기업
주식회사 소프트플러스,대구광역시 동구 매여로 52 1층 (율암동),중소기업
브이투씨(주),경기도 광명시 하안로 60B동910호 (소하동광명테크노파크),중소기업
(주)제트로정보통신,인천광역시 미추홀구 주염로 58 190-1호 (주안동 주안시범공단),중소기업
닉스테크놀로지(주),대전광역시 서구 둔산중로 138 1109호 (둔산동 주은오피스텔),중소기업
세광정보통신주식회사,광주광역시 북구 신용산길 276-15 (지야동),중소기업
주식회사 다루소프트,서울특별시 강동구 성내로5길 21 201호 (성내동),중소기업
주식회사 버터,대전광역시 유성구 반석로 10 반석역프라자 603호 (반석동),중소기업
주식회사 트레이,서울특별시 중구 서소문로 89-20 B3층 L001호 (정동 삼정 아트테라스 정동),중소기업
주식회사일화통신,경상남도 김해시 주촌면 주선로 122(3층),중소기업
주식회사 지스아이앤씨,서울특별시 금천구 가산디지털1로 30 605호 (가산동에이스하이엔드타워10차),중소기업
(주)크레온유니티,경기도 고양시 일산동구 중앙로1275번길 60-31 5층(장항동에머랄드빌딩),중소기업
주식회사 메트로콤,강원도 강릉시 성덕포남로 210 (포남동),중소기업
주식회사 삼도통신,서울특별시 마포구 방울내로 73 3층 (망원동),중소기업
(주)아이티엔제이,울산광역시 남구 왕생로 99 5층 (달동),중소기업
주식회사 신라시스템,대구광역시 동구 매여로 52 (율암동),중소기업
코스모스티이에스(주),경기도 성남시 분당구 돌마로 73 (금곡동),중소기업
(주)델타시스템,충청북도 청주시 흥덕구 무심서로 715 (운천동),중소기업
주식회사 온스트림,서울특별시 강남구 선릉로112길 65 지하1층 (삼성동),중소기업
주식회사 탑엔지니어링,경기도 수원시 권선구 산업로155번길 228-81 (고색동),중소기업
주식회사 다인테크,전라북도 장수군 장계면 동동천변길 10,중소기업
옵데강 주식회사,제주특별자치도 제주시 고마로15길 5 3층(일도이동),중소기업
나로텔레콤(주),대전광역시 유성구 계룡로60번길 48 1동 (봉명동 465-20 465-21번지),중소기업
미래아이티(주),서울특별시 송파구 법원로11길 11 B동 412호 (문정동 현대지식산업센터),중소기업
주식회사 헬스맥스,서울특별시 강남구 영동대로 644 2층(삼성동 원일빌딩),중소기업
휴먼테크(주),경기도 남양주시 덕송1로55번길 6 211호(별내동 SG타워),중소기업
주식회사 에스엔케이미디어,경기도 남양주시 진건읍 진건오남로390번길 169-47,중소기업
(주)바스텍,대전광역시 유성구 지족로 355 403호(지족동 월드프라자),중소기업
(주)데카엔지니어링,대구광역시 북구 경대로17길 47 6층 501호 (복현동 IT 융합산업빌딩),중소기업
(주) 프로텍,광주광역시 북구 첨단벤처소로37번길 15(월출동),중소기업
주식회사 엠제이정보통신,전라북도 남원시 요천로 1843 (고죽동),중소기업
(주)하이콤정보시스템,전남 곡성군 곡성읍 곡성로 852,중소기업
주식회사 아이스카이,제주특별자치도 제주시 고마로15길 5 (일도이동3층),중소기업
주식회사 위우너스,서울특별시 송파구 중대로 135 제12층 제동관 1201호 (가락동 아이티벤처타워),중소기업
주식회사 에스큐텍,경상북도 김천시 혁신로 303 3층 301-1호(율곡동 지텍지식산업센터),중소기업
(주)화이트폭스,경상남도 김해시 관동로 14 401402호(관동동 경남콘텐츠기업육성센터),중소기업
주식회사 쏘프,서울특별시 금천구 가산디지털1로 205-27 1106호 (가산동가산A1타워),중소기업
(주)블루쉘,서울특별시 영등포구 양산로 43 제804호 (양평동3가 우림이비지센타),중소기업
(주)코티스,부산광역시 금정구 두실로 25 (구서동),중소기업
(주)에이디엠아이,대전광역시 서구 대덕대로234번길 15 6층 (둔산동),중소기업
(주)그리네,충청남도 서산시 시장1로 9 -1층(동문동),중소기업
주식회사 시트론정보통신,인천광역시 서구 가남로 61 에이동 211호(가좌동 토지산업2차 지식산업센터),중소기업
주식회사 파란샘,서울특별시 중구 세종대로 136 3층 (태평로1가 파이낸스빌딩),중소기업
(주)밸류원,서울특별시 강서구 양천로 583 에이-2011 (염창동우림블루나인비즈니스센터),중소기업
(주)다래아이엔씨,서울특별시 영등포구 선유로13길 25 908호 909호 (문래동6가),중소기업
주식회사 세운정보기술,인천광역시 동구 방축로83번길 23 12동 208호(송림동산업유통센터),중소기업
주식회사 까리용,서울특별시 강남구 테헤란로 503 1207호 (삼성동 옥산빌딩),중소기업
주식회사 에스제이네트웍스,충청북도 충주시 충원대로 547 (봉방동),중소기업
주식회사 나인정보기술,인천광역시 서구 파랑로 495 2동 916호 (청라동 (청라동 에이스하이테크시티청라)),중소기업
(주)에스디,경기도 포천시 소흘읍 한성길 61 2층,중소기업
주식회사 현대기전,강원도 삼척시 근덕면 본동길 21-176,중소기업
주식회사 넥스트폼,서울특별시 금천구 디지털로9길 32 에이-1106 (가산동 갑을그레이트밸리),중소기업
(주)지아이,충청남도 공주시 번영1로 194-7 111동 204호 (신관동 대아아이투빌아파트),중소기업
노웨어솔루션주식회사,서울특별시 도봉구 마들로 750 (도봉동),중소기업
크리스베럴 주식회사,서울특별시 송파구 백제고분로 63 812호 (잠실동 위너스오피스텔1),중소기업
주식회사 엘림,경상북도 경산시 하양읍 하양로 13-13 307B호 (대구카톨릭대학교 창업보육센터),중소기업
태화통신(주),충청남도 공주시 반포면 정광터1길 164-21,중소기업
주식회사 두리씨앤에스,광주광역시 광산구 임곡로 425-11 2층 (고룡동 웨스트필드),중소기업
주식회사 비엘텍,경상북도 포항시 남구 중흥로101번길 17-1 306호(상도동은혜오피스텔),중소기업
이오에스에스주식회사,서울특별시 영등포구 여의대방로67길 8 708호(여의도동고려빌딩),중소기업
주식회사 우리에이치알컴퍼니,대구광역시 남구 이천로 148 2층 (이천동),중소기업
주식회사 인티게이트,경기도 성남시 중원구 사기막골로 124(상대원동 성남에스케이엔테크노파크메가센터804~805호),중소기업
주식회사 디지털헬스글로벌,서울특별시 마포구 양화로 156 11층 1201호 (동교동 LG팰리스빌딩),중소기업
제니토스,대전광역시 유성구 테크노1로 12-22 A동 7층 8호 (관평동 디티비안오피스텔),중소기업
케이디시스 주식회사,서울특별시 서초구 효령로55길 28 5층 506호(서초동 브이 샤르망),중소기업
(주)세븐전자코리아,인천광역시 중구 참외전로 110-6 1층 (인현동1층),중소기업
주식회사 도담정보기술,충청남도 천안시 서북구 두정상가8길 30 9층 904호 (두정동 하이스타운),중소기업
블랙썬 주식회사,서울특별시 영등포구 양평로 157 1608호 (양평동5가 선유도투웨니퍼스트밸리),중소기업
주식회사 화인소프트,서울특별시 구로구 디지털로33길 50 12층 1204호 ( 구로동벽산디지털밸리7차),중소기업
주식회사 케이탑시스템,강원도 춘천시 퇴계공단1길 13 2층 (퇴계동),중소기업
금강방송주식회사,전라북도 익산시 익산대로 569 (신용동),중소기업
주식회사 콘텐츠팩토리,대구광역시 동구 동대구로 469 대구콘텐츠비즈니스센터 411호 (신천동),중소기업
(주)유밥,서울특별시 영등포구 여의나루로 60 6층 (여의도동 여의도포스트타워),중소기업
파워스튜디오,경기도 하남시 미사대로 550 A동 8층 43호 (덕풍동 현대지식산업센터 한강미사),중소기업
세종방송통신(주),세종특별자치시 조치원읍 충현로 98 202호,중소기업
주식회사 에스이씨,전라북도 전주시 덕진구 진조리길 79 (전미동1가),중소기업
주식회사 부원정보통신,광주광역시 서구 풍암신흥안길 31-4 (풍암동),중소기업
주식회사 하나로,전라북도 전주시 완산구 내원당길 7-5 (대성동),중소기업
(주)맨아이텍,경기도 과천시 부림3길 14-1 (부림동),중소기업
주식회사 이엘피케이뉴,경기도 안산시 단원구 원포공원1로 60 506-1호 506호(초지동 다인프라자),중소기업
주식회사 에스웨이,충청북도 청주시 흥덕구 공단로 134 세종테크노밸리 12141215호 (송정동),중소기업
(주)지성아이티,서울특별시 구로구 남부순환로105길 108 (가리봉동지성빌딩 3층),중소기업
(주)제일정보통신,경상남도 김해시 주촌면 주선로 122 (2층),중소기업
주식회사 알파시스템,울산광역시 북구 무룡1로 95-1 (연암동),중소기업
올제텍 주식회사,대전광역시 유성구 테크노10로 60 (탑립동),중소기업
문소프트 주식회사,대전광역시 유성구 반석동로 54 3층 303호 (반석동 쎈타프라자3),중소기업
(주)대한전광,서울 서초구 방배로25길 17 (방배동 대한빌딩),중소기업
(주)에이엔알,대전광역시 서구 둔산로31번길 65 5층 (둔산동),중소기업
(주)리얼웹,서울특별시 강남구 봉은사로 129 (논현동 751빌딩5층),중소기업
(주) 한맥소프트웨어,서울특별시 강남구 테헤란로84길 16  4층 (대치동세풍빌딩),중소기업
(주)메딕콘,인천광역시 강화군 강화읍 동문로20번길 3,중소기업
(주)한얼누리,충청북도 단양군 단양읍 상진14길 1,중소기업
(주)스페이스솔루션,서울특별시 금천구 디지털로9길 33 19층 1903 1904호 (가산동아이티미래타워),중소기업
주식회사 그린텔,경기도 고양시 일산서구 일산로 662 504호 일부 (대화동 하나로프라자),중소기업
주식회사 아이티메세지,서울특별시 송파구 법원로 114 비동 6층 비-611호 612호(문정동),중소기업
주식회사 그레이스정보통신,경기도 수원시 팔달구 장다리로 201 세민빌딩 705호 (인계동),중소기업
(주)오렌지테크,서울특별시 강남구 강남대로62길 24 해송빌딩 2층 (역삼동),중소기업
주식회사 지기,경기도 하남시 미사대로 520 씨씨동 3층 3-045호 (덕풍동 현대지식 산업센터 한강미사2차-25블럭),중소기업
(주)테크소프트,서울특별시 강서구 화곡로68길 82 504호 (등촌동 강서아이티밸리),중소기업
주식회사 다음아이티,충청남도 금산군 추부면 다복로 600-22 1층,중소기업
주식회사 지우 이앤씨,충청북도 음성군 음성읍 한천길 81,중소기업
써미텍(주),대전광역시 서구 문예로 63 6층(둔산동 행촌회관),중소기업
(주)모두텍,대전광역시 유성구 가정북로 26-41 402호 (장동 아이티플렉스빌딩 4층),중소기업
주식회사 차후,경기도 성남시 분당구 판교로 256번길 25 (삼평동비동4층),중소기업
(주)효원엔지니어링,서울특별시 금천구 벚꽃로 254 814호 (가산동 월드메르디앙벤처센타),중소기업
(주)인정보기술,전라남도 나주시 그린로 369 302호 (빛가람동 화정프라자) (빛가람동),중소기업
주식회사하림아이티,부산광역시 연제구 과정로276번길14 2층(연산동),중소기업
주시회사 에이원,전라남도 장성군 동화면 전자농공단지2길 70,중소기업
주식회사 지니클라우드,서울특별시 강남구 강남대로62길 24 3층 (역삼동 해송빌딩),중소기업
(주)유디엔에스,경기도 용인시 기흥구 기흥로 58-1 A동 15층 1514호 (구갈동 기흥아이씨티밸리에스케이브이원),중소기업
(주)다인정보기술,경기도 고양시 덕양구 대덕로 168 (현천동),중소기업
주식회사 엔티정보,충청북도 청주시 상당구 교동로 9 (수동 교직원공제회관4층 ),중소기업
(주)델타시스템,서울특별시 성동구 성수일로 77 1206호(성수동1가 서울숲IT밸리),중소기업
(주)엔디에스,서울특별시 동작구 여의대방로 112(신대방동),대기업
주식회사 그리드컴,울산광역시 동구 방어진순환도로 1000 (전하동 조선별관),중소기업
버픽스 주식회사,서울특별시 구로구 디지털로 272 705호 (구로동 한신아이티타워),중소기업
주식회사 정원시큐,서울특별시 금천구 두산로 70 A-1212호 (독산동현대지식산업센터),중소기업
(주)금강정보,대전광역시 서구 계룡로649번길 43 (용문동),중소기업
주식회사 그루기술,서울특별시 성동구 성수일로 55 607호(성수동1가 SK테크노빌딩),중소기업
주식회사 글로벌에스이,울산광역시 남구 번영로150번길 26 (달동),중소기업
메타빌드 주식회사,서울특별시 서초구 서초중앙로 62 6층 (서초동 메타빌드빌딩),중소기업
주식회사 임산업,인천광역시 남동구 능허대로595번길 148 (고잔동 남동공단118블럭 6로트),중소기업
(주)디큐,강원도 춘천시 퇴계로 62 (퇴계동),중소기업
엘림네트웍스(주),인천광역시 서구 고산후로 97 401호 (당하동희성프라자),중소기업
중증장애인희망사업단,전라남도 나주시 도민길 40-17 (빛가람동),중소기업
(주)홍석,경기도 용인시 수지구 신봉1로 157 상가1층 107호 (신봉동),중소기업
주식회사 엘아이엔씨,경상북도 칠곡군 왜관읍 군청1길 1,중소기업
주식회사 아이비에스티,경상남도 창원시 마산회원구 봉암북7길 21 4동 703호 (봉암동 테크노파크),중소기업
수미디어통신 주식회사,서울특별시 성동구 상원1길 26 6층 601호 602호 (성수동 656-591외3필지) (성수동1가 서울숲에이타워),중소기업
(주)광진,전라남도 영광군 백수읍 백수로 1121,중소기업
(주)애버커스,서울특별시 구로구 디지털로31길 20(구로동에이스테크노5차) 1108호,중소기업
주식회사 창언정보,전라남도 순천시 서면 지본금평길 24-10,중소기업
(주)유비텍,부산광역시 해운대구 수영강변대로 140(우동 부산문화콘텐츠콤플렉스 721호 722호 723호),중소기업
(주)스토리에이치,서울특별시 강남구 삼성로 555 지하2층 비202호 (삼성동),중소기업
주식회사 그린네트웍스,대구광역시 북구 학남로 20-1 3층 (학정동 동원빌딩),중소기업
(주)영풍,광주광역시 광산구 풍영철길로 20-3 2층 (우산동),중소기업
주식회사 하이컴텍,서울특별시 금천구 가산디지털1로 145 1802호 (가산동 에이스하이엔드타워3차),중소기업
(주)한국에빅스,서울특별시 강서구 양천로 583 2208호(염창동 우림블루나인 B동),중소기업
(주)한텍시스템,부산광역시 해운대구 센텀중앙로 48 1911호(우동 에이스하이테크21),중소기업
(주)한영정보통신,대구광역시 동구 팔공로68길 18 1층 (봉무동),중소기업
(주) 대진정보기술,광주광역시 북구 연양로105번길 26 (양산동),중소기업
쎄인탑(주),경기도 수원시 영통구 삼성로 274 공장동 303호 (원천동 수원팩토리월드),중소기업
(주)앤앤에스피,서울특별시 강남구 논현로 100 2층 (개포동),중소기업
(주)청우씨앤에스,충청북도 청주시 흥덕구 오송읍 오송생명3로 31 102동 1421호(오송두산위브센티움 오피스텔),중소기업
인스피언(주),서울특별시 금천구 벚꽃로 278 130913101311호 (가산동 SJ테크노빌)),중소기업
주식회사 일루텍코리아,서울특별시 강서구 마곡중앙로 59-9 4층 412~415호 (마곡동 메가타워),중소기업
유한회사 광명이엔시,전라남도 영광군 대마면 전기차1로 210 2층,중소기업
주식회사 디맨드,경기도 성남시 분당구 판교역로 230 비동 4층 417호(삼평동),중소기업
(주)이레아이디에스,서울특별시 송파구 송파대로 167 B동 1020호(문정동 문정역테라타워),중소기업
(주)아키스,서울특별시 강남구 봉은사로114길 28 (삼성동 제이플러스타워 604호),중소기업
주식회사 아이앤이,충청북도 청주시 흥덕구 가로수로1154번길 21-4 4층(강서동 아이앤이빌딩),중소기업
사단법인 더불어사는 장애인복지회 기전사업단,광주광역시 북구 양일로 180 C동 별관 1층(양산동) (양산동),중소기업
(주)티온시스템,경기도 안양시 동안구 벌말로 123 14층 1409호(관양동평촌스마트베이),중소기업
인터리젠(주),서울 강남구 강남대로 42길 13 (도곡동호성빌딩7층),중소기업
주식회사 에코페어,경기도 광명시 양지로 16 112동 1908호 (일직동 광명역써밋플레이스),중소기업
디비에프아이에스(주),서울특별시 강남구 삼성로96길 23 3층 (삼성동 3층),대기업
주식회사 포밸류소프트,서울특별시 강남구 테헤란로19길 25 3층 (역삼동재원빌딩),중소기업
킹스정보통신(주),경기도 하남시 조정대로 150 953호(덕풍동 아이테크 지식산업센터),중소기업
주식회사 비원이즈,경기도 광명시 광삼로5번길 5 지상1층 지하1층 (광명동),중소기업
주식회사 와이어블,서울특별시 송파구 법원로11길 28 10층 11층 12층 (문정동 비케이타워),중소기업
주식회사 우명기전,강원도 화천군 화천읍 산수화로 14,중소기업
(주)넥스트이지,제주특별자치도 제주시 첨단로 245-13 2층 (영평동),중소기업
(주) 브랜드콘텐츠,서울특별시 중구 삼일대로8길 12 (충무로2가),중소기업
(주) 아트카오스,서울특별시 마포구 월드컵로26길 45 (성산동),중소기업
(주)디투아이,서울특별시 구로구 디지털로33길 48 807호 (구로동 대륭포스트타워 7차),중소기업
유일엔지니어링(주),충청남도 태안군 태안읍 원이로 341-9,중소기업
신명엔지니어링(주),경기도 용인시 처인구 포곡읍 한금로 122,중소기업
(주) 더퍼스트아이씨티,경기도 용인시 기흥구 구성로 357 에이동 9층 916호 (청덕동 용인테크노밸리),중소기업
(주) 지우정보기술,경기도 성남시 중원구 사기막골로 177 10층 1001-1003호(상대원동 금강하이테크밸리),중소기업
(주)예강텔레콤,경기도 안산시 단원구 광덕대로 187 506호 (고잔동),중소기업
주식회사 성호넷,경기도 김포시 대곶면 대곶남로501번길 36,중소기업
대신네트웍스(주),경상북도 포항시 남구 포스코대로 393 (대도동),중소기업
이미지팹 주식회사,충청남도 아산시 음봉면 연암산로 88 207호 (충남테크노파크디스플레이센타),중소기업
(주) 와치텍,서울특별시 영등포구 국제금융로8길 11 대영빌딩 14층 (여의도동),중소기업
